vehicle_class,year,avg_premium,avg_quota,avg_bid_pressure
Category A,2010,30404.75,780.5416666666666,1.4494641780582704
Category A,2011,48206.25,542.75,1.630635781643985
Category A,2012,63898.041666666664,537.875,1.4364247706936322
Category A,2013,74690.0,355.5833333333333,2.0106538621972114
Category A,2014,67675.33333333333,509.5833333333333,1.7406967885670797
Category A,2015,60601.166666666664,1369.4583333333333,1.5246953432592818
Category A,2016,49586.75,2030.5833333333333,1.5147098399709755
Category A,2017,45990.666666666664,1886.75,1.3547309687927935
Category A,2018,33037.583333333336,1619.6666666666667,1.3883930390709054
Category A,2019,29906.916666666668,1368.5833333333333,1.3992385607397164
Category A,2020,35403.61111111111,1023.6111111111111,1.5893849241073825
Category A,2021,47424.583333333336,804.5416666666666,1.392720016702324
Category A,2022,75808.95833333333,549.125,1.406177121715318
Category A,2023,94537.5,634.7916666666666,1.3713743424247784
Category A,2024,90494.66666666667,980.0,1.580347796719071
Category A,2025,102912.04166666667,1220.375,1.5467139085948656
Category A,2026,115360.5,1269.9166666666667,1.622731851822525
Category B,2010,39834.125,561.2083333333334,1.492032165599973
Category B,2011,64937.708333333336,402.7083333333333,1.4867888610369977
Category B,2012,84430.58333333333,352.125,1.4747386442048638
Category B,2013,78711.54166666667,342.9166666666667,1.8718552064630618
Category B,2014,73281.54166666667,466.875,1.5771167154168209
Category B,2015,66851.08333333333,899.0833333333334,1.4916327973190737
Category B,2016,52122.166666666664,1306.7083333333333,1.661209646256965
Category B,2017,51800.208333333336,1327.8333333333333,1.4244788505201793
Category B,2018,35345.208333333336,1312.75,1.4121823115620575
Category B,2019,38814.916666666664,1122.9166666666667,1.3845869395926231
Category B,2020,38155.11111111111,997.0555555555555,1.6079180540518438
Category B,2021,61222.5,820.5,1.3760271870646192
Category B,2022,100946.41666666667,506.875,1.4176552769505566
Category B,2023,121800.58333333333,483.2083333333333,1.4305204485246301
Category B,2024,103729.66666666667,669.7083333333334,1.5330716874483492
Category B,2025,120747.5,777.4166666666666,1.485017410736482
Category B,2026,119535.33333333333,835.5,1.4966241294186664
